ID,e1_pr,e1_vol,e1_s1,e1_s2,e1_s3,e1_s4,e1_s5,e1_mean,e1_var,e2_pr,e2_vol,e2_s1,e2_s2,e2_s3,e2_s4,e2_s5,e2_mean,e2_var,b1_pr,b1_vol,b1_s1,b1_s2,b1_s3,b1_s4,b1_s5,b1_mean,b1_var,b2_pr,b2_vol,b2_s1,b2_s2,b2_s3,b2_s4,b2_s5,b2_mean,b2_var
4955,26.99,19584,0.73,0.19,0.04,0.03,0.01,4.6,0.58,26.99,18199,0.77,0.11,0.07,0.04,0.01,4.6,0.74,17.99,7873,0.62,0.32,0.01,0.02,0.03,4.5,0.74,16.99,9005,0.82,0.01,0.01,0.07,0.09,4.4,1.74
4964,28.99,15335,0.65,0.25,0.07,0.01,0.02,4.5,0.67,26.99,17668,0.76,0.08,0.04,0.02,0.1,4.4,1.64,17.99,13378,0.77,0.12,0.05,0.03,0.03,4.6,0.86,15.99,19631,0.66,0.19,0.07,0.04,0.04,4.4,1.09
4984,28.99,18452,0.69,0.2,0.01,0.03,0.07,4.4,1.31,28.99,18286,0.69,0.2,0.01,0.03,0.07,4.4,1.31,17.99,18682,0.6,0.32,0.01,0.03,0.04,4.4,0.95,15.99,12837,0.77,0.13,0.01,0.01,0.08,4.5,1.29
4995,26.99,18880,0.7,0.2,0.05,0.01,0.04,4.5,0.9,24.99,7322,0.6,0.28,0.08,0.02,0.02,4.4,0.76,15.99,15669,0.6,0.28,0.08,0.02,0.02,4.4,0.76,17.99,11904,0.73,0.19,0.04,0.03,0.01,4.6,0.58
5012,28.99,16795,0.77,0.11,0.07,0.04,0.01,4.6,0.74,26.99,16993,0.61,0.26,0.08,0.04,0.01,4.4,0.8,15.99,11492,0.64,0.24,0.1,0.01,0.01,4.5,0.61,17.99,7948,0.75,0.18,0.01,0.03,0.03,4.6,0.81
5013,28.99,15699,0.69,0.2,0.01,0.03,0.07,4.4,1.31,26.99,6418,0.65,0.19,0.11,0.03,0.02,4.4,0.91,16.99,8218,0.6,0.32,0.01,0.03,0.04,4.4,0.95,17.99,15691,0.75,0.18,0.01,0.03,0.03,4.6,0.81
5016,24.99,19920,0.72,0.14,0.07,0.04,0.03,4.5,0.98,28.99,11077,0.75,0.12,0.1,0.02,0.01,4.6,0.65,15.99,12031,0.69,0.2,0.01,0.03,0.07,4.4,1.31,17.99,12808,0.77,0.13,0.05,0.02,0.03,4.6,0.84
5020,24.99,10487,0.64,0.24,0.1,0.01,0.01,4.5,0.61,28.99,17494,0.83,0.05,0.05,0.03,0.04,4.6,1.04,15.99,19896,0.65,0.19,0.11,0.03,0.02,4.4,0.91,17.99,12595,0.82,0.05,0.02,0.01,0.1,4.5,1.5
5021,28.99,10220,0.77,0.12,0.05,0.03,0.03,4.6,0.86,24.99,13483,0.77,0.12,0.01,0.05,0.05,4.5,1.21,16.99,6265,0.6,0.28,0.08,0.02,0.02,4.4,0.76,17.99,16095,0.72,0.13,0.11,0.01,0.03,4.5,0.87
5028,26.99,9856,0.75,0.17,0.03,0.02,0.03,4.6,0.79,24.99,15752,0.82,0.01,0.01,0.07,0.09,4.4,1.74,16.99,12208,0.77,0.13,0.06,0.03,0.01,4.6,0.68,15.99,17844,0.73,0.15,0.01,0.02,0.09,4.4,1.49
5034,28.99,14891,0.77,0.12,0.05,0.03,0.03,4.6,0.86,26.99,8347,0.82,0.05,0.02,0.01,0.1,4.5,1.5,15.99,6789,0.77,0.13,0.06,0.03,0.01,4.6,0.68,16.99,17676,0.73,0.16,0.04,0.01,0.06,4.5,1.1
5046,28.99,18562,0.65,0.25,0.07,0.01,0.02,4.5,0.67,24.99,10215,0.52,0.4,0.03,0.03,0.02,4.4,0.66,16.99,6227,0.77,0.13,0.05,0.02,0.03,4.6,0.84,17.99,12766,0.82,0.04,0.04,0.02,0.08,4.5,1.43
5049,28.99,19837,0.82,0.09,0.01,0.03,0.05,4.6,1,26.99,7279,0.82,0.07,0.04,0.03,0.04,4.6,0.97,15.99,5520,0.74,0.14,0.05,0.03,0.04,4.5,1.06,16.99,11470,0.77,0.12,0.05,0.03,0.03,4.6,0.86
5050,28.99,14096,0.83,0.05,0.03,0.04,0.05,4.6,1.1,24.99,5666,0.82,0.04,0.04,0.02,0.08,4.5,1.43,17.99,13482,0.72,0.15,0.07,0.02,0.04,4.5,1.02,16.99,9418,0.65,0.19,0.11,0.03,0.02,4.4,0.91
5051,24.99,7511,0.77,0.11,0.07,0.04,0.01,4.6,0.74,24.99,14802,0.71,0.12,0.12,0.04,0.01,4.5,0.85,15.99,17930,0.76,0.08,0.04,0.02,0.1,4.4,1.64,16.99,15420,0.83,0.07,0.01,0.02,0.07,4.6,1.19
5064,24.99,6821,0.62,0.26,0.05,0.02,0.05,4.4,1.05,26.99,6149,0.71,0.23,0.03,0.02,0.01,4.6,0.53,16.99,12545,0.7,0.2,0.05,0.01,0.04,4.5,0.9,16.99,15935,0.71,0.12,0.12,0.04,0.01,4.5,0.85
5066,28.99,15386,0.82,0.04,0.04,0.02,0.08,4.5,1.43,26.99,7899,0.68,0.19,0.04,0.02,0.07,4.4,1.27,16.99,13993,0.71,0.23,0.03,0.02,0.01,4.6,0.53,15.99,19324,0.72,0.14,0.07,0.04,0.03,4.5,0.98
5070,24.99,6577,0.77,0.13,0.06,0.03,0.01,4.6,0.68,26.99,15300,0.69,0.2,0.01,0.03,0.07,4.4,1.31,15.99,19444,0.65,0.22,0.05,0.05,0.03,4.4,0.99,16.99,11739,0.75,0.17,0.03,0.02,0.03,4.6,0.79
5072,26.99,19425,0.64,0.24,0.1,0.01,0.01,4.5,0.61,24.99,9043,0.81,0.08,0.06,0.01,0.04,4.6,0.93,17.99,5905,0.75,0.18,0.01,0.03,0.03,4.6,0.81,15.99,11572,0.64,0.24,0.1,0.01,0.01,4.5,0.61
5075,24.99,11255,0.82,0.03,0.04,0.05,0.06,4.5,1.36,24.99,9308,0.64,0.24,0.1,0.01,0.01,4.5,0.61,15.99,5057,0.77,0.13,0.05,0.02,0.03,4.6,0.84,16.99,10470,0.77,0.12,0.01,0.05,0.05,4.5,1.21
5080,24.99,13958,0.68,0.18,0.05,0.03,0.06,4.4,1.22,28.99,14616,0.82,0.04,0.04,0.02,0.08,4.5,1.43,16.99,6603,0.83,0.07,0.01,0.02,0.07,4.6,1.19,15.99,8653,0.68,0.18,0.05,0.03,0.06,4.4,1.22
5093,26.99,6691,0.6,0.32,0.01,0.03,0.04,4.4,0.95,28.99,15941,0.71,0.12,0.12,0.04,0.01,4.5,0.85,17.99,6196,0.75,0.12,0.1,0.02,0.01,4.6,0.65,16.99,10110,0.62,0.32,0.01,0.02,0.03,4.5,0.74
5094,24.99,11251,0.74,0.18,0.02,0.03,0.03,4.6,0.77,26.99,16743,0.74,0.1,0.07,0.02,0.07,4.4,1.36,15.99,9938,0.68,0.19,0.04,0.02,0.07,4.4,1.27,15.99,5997,0.6,0.28,0.08,0.02,0.02,4.4,0.76
5106,24.99,5693,0.64,0.24,0.1,0.01,0.01,4.5,0.61,26.99,17453,0.82,0.04,0.04,0.02,0.08,4.5,1.43,17.99,13163,0.68,0.18,0.05,0.03,0.06,4.4,1.22,16.99,6656,0.7,0.18,0.06,0.05,0.01,4.5,0.81
5108,26.99,5732,0.77,0.13,0.01,0.01,0.08,4.5,1.29,28.99,18374,0.66,0.22,0.09,0.02,0.01,4.5,0.7,16.99,9783,0.72,0.18,0.07,0.02,0.01,4.6,0.62,16.99,6951,0.75,0.12,0.1,0.02,0.01,4.6,0.65
5110,26.99,16143,0.6,0.28,0.08,0.02,0.02,4.4,0.76,28.99,8155,0.82,0.07,0.04,0.03,0.04,4.6,0.97,15.99,8156,0.74,0.14,0.05,0.03,0.04,4.5,1.06,17.99,12641,0.82,0.09,0.01,0.03,0.05,4.6,1
5111,26.99,16769,0.64,0.24,0.1,0.01,0.01,4.5,0.61,28.99,8018,0.74,0.18,0.02,0.03,0.03,4.6,0.77,17.99,17279,0.77,0.12,0.05,0.03,0.03,4.6,0.86,16.99,6711,0.7,0.2,0.05,0.01,0.04,4.5,0.9
5112,24.99,13391,0.66,0.22,0.09,0.02,0.01,4.5,0.7,26.99,9841,0.83,0.07,0.01,0.02,0.07,4.6,1.19,17.99,8980,0.75,0.18,0.01,0.03,0.03,4.6,0.81,15.99,19315,0.69,0.2,0.01,0.03,0.07,4.4,1.31
5113,24.99,11638,0.52,0.4,0.03,0.03,0.02,4.4,0.66,28.99,18878,0.73,0.16,0.04,0.01,0.06,4.5,1.1,16.99,17725,0.77,0.13,0.06,0.03,0.01,4.6,0.68,15.99,10266,0.83,0.05,0.03,0.04,0.05,4.6,1.1
5114,28.99,16737,0.61,0.26,0.08,0.04,0.01,4.4,0.8,28.99,5348,0.78,0.15,0.02,0.01,0.04,4.6,0.89,17.99,8976,0.82,0.05,0.02,0.01,0.1,4.5,1.5,16.99,9759,0.76,0.08,0.02,0.06,0.08,4.4,1.54
5119,24.99,9558,0.7,0.2,0.05,0.01,0.04,4.5,0.9,26.99,16352,0.74,0.1,0.07,0.02,0.07,4.4,1.36,16.99,11696,0.68,0.19,0.04,0.02,0.07,4.4,1.27,15.99,5102,0.73,0.15,0.01,0.02,0.09,4.4,1.49
5128,26.99,11952,0.72,0.14,0.07,0.04,0.03,4.5,0.98,24.99,5550,0.77,0.13,0.05,0.02,0.03,4.6,0.84,16.99,16353,0.75,0.18,0.03,0.01,0.03,4.6,0.71,16.99,12854,0.77,0.13,0.06,0.03,0.01,4.6,0.68
5138,28.99,19152,0.7,0.2,0.05,0.01,0.04,4.5,0.9,26.99,19611,0.68,0.18,0.05,0.03,0.06,4.4,1.22,15.99,19308,0.69,0.2,0.01,0.03,0.07,4.4,1.31,17.99,15123,0.83,0.05,0.05,0.03,0.04,4.6,1.04
5141,26.99,18585,0.71,0.17,0.01,0.02,0.09,4.4,1.43,26.99,6964,0.69,0.14,0.14,0.02,0.01,4.5,0.77,16.99,9655,0.82,0.05,0.02,0.01,0.1,4.5,1.5,16.99,9926,0.72,0.15,0.07,0.02,0.04,4.5,1.02
5150,24.99,6659,0.62,0.26,0.05,0.02,0.05,4.4,1.05,28.99,10080,0.72,0.18,0.07,0.02,0.01,4.6,0.62,15.99,7796,0.74,0.18,0.02,0.03,0.03,4.6,0.77,17.99,18020,0.64,0.24,0.1,0.01,0.01,4.5,0.61
5155,28.99,5151,0.73,0.16,0.04,0.01,0.06,4.5,1.1,26.99,8146,0.62,0.26,0.05,0.02,0.05,4.4,1.05,17.99,14265,0.82,0.04,0.04,0.02,0.08,4.5,1.43,16.99,8080,0.74,0.14,0.05,0.03,0.04,4.5,1.06
5158,24.99,13625,0.65,0.22,0.05,0.05,0.03,4.4,0.99,24.99,8371,0.62,0.32,0.01,0.02,0.03,4.5,0.74,17.99,8216,0.81,0.08,0.06,0.01,0.04,4.6,0.93,16.99,5946,0.65,0.22,0.05,0.05,0.03,4.4,0.99
5164,24.99,7327,0.65,0.22,0.05,0.05,0.03,4.4,0.99,26.99,13370,0.69,0.14,0.14,0.02,0.01,4.5,0.77,17.99,7235,0.81,0.08,0.06,0.01,0.04,4.6,0.93,16.99,12197,0.68,0.19,0.04,0.02,0.07,4.4,1.27
5179,24.99,19651,0.6,0.28,0.08,0.02,0.02,4.4,0.76,26.99,11013,0.65,0.25,0.07,0.01,0.02,4.5,0.67,17.99,12977,0.82,0.07,0.04,0.03,0.04,4.6,0.97,16.99,15163,0.68,0.18,0.05,0.03,0.06,4.4,1.22
5190,28.99,6961,0.86,0.03,0.01,0.04,0.06,4.6,1.22,26.99,10680,0.71,0.12,0.12,0.04,0.01,4.5,0.85,15.99,10961,0.65,0.22,0.05,0.05,0.03,4.4,0.99,16.99,5820,0.83,0.07,0.01,0.02,0.07,4.6,1.19
5215,26.99,13425,0.69,0.2,0.01,0.03,0.07,4.4,1.31,28.99,14341,0.7,0.2,0.05,0.01,0.04,4.5,0.9,15.99,9012,0.82,0.04,0.04,0.02,0.08,4.5,1.43,17.99,17026,0.72,0.13,0.11,0.01,0.03,4.5,0.87
5222,26.99,14155,0.83,0.05,0.03,0.04,0.05,4.6,1.1,24.99,8191,0.69,0.2,0.01,0.03,0.07,4.4,1.31,15.99,15550,0.62,0.27,0.04,0.02,0.05,4.4,1.02,17.99,5880,0.83,0.05,0.05,0.03,0.04,4.6,1.04
5223,28.99,15930,0.69,0.14,0.14,0.02,0.01,4.5,0.77,28.99,5132,0.77,0.11,0.07,0.04,0.01,4.6,0.74,17.99,12883,0.68,0.18,0.05,0.03,0.06,4.4,1.22,15.99,6713,0.73,0.15,0.01,0.02,0.09,4.4,1.49
5225,28.99,10410,0.77,0.13,0.06,0.03,0.01,4.6,0.68,28.99,19725,0.62,0.32,0.01,0.02,0.03,4.5,0.74,17.99,13455,0.83,0.07,0.01,0.02,0.07,4.6,1.19,17.99,19814,0.66,0.19,0.07,0.04,0.04,4.4,1.09
5226,24.99,14195,0.82,0.04,0.04,0.02,0.08,4.5,1.43,24.99,15748,0.77,0.12,0.01,0.05,0.05,4.5,1.21,17.99,14293,0.78,0.15,0.02,0.01,0.04,4.6,0.89,15.99,15848,0.69,0.18,0.07,0.02,0.04,4.5,0.93
5227,28.99,13564,0.7,0.2,0.05,0.01,0.04,4.5,0.9,28.99,5066,0.86,0.03,0.01,0.04,0.06,4.6,1.22,17.99,16640,0.73,0.19,0.04,0.03,0.01,4.6,0.58,16.99,5923,0.73,0.15,0.01,0.02,0.09,4.4,1.49
5228,28.99,6718,0.83,0.07,0.01,0.02,0.07,4.6,1.19,28.99,13226,0.66,0.19,0.07,0.04,0.04,4.4,1.09,16.99,16166,0.82,0.09,0.01,0.03,0.05,4.6,1,15.99,16647,0.82,0.05,0.02,0.01,0.1,4.5,1.5
5233,24.99,9108,0.69,0.18,0.07,0.02,0.04,4.5,0.93,28.99,19378,0.76,0.08,0.02,0.06,0.08,4.4,1.54,17.99,14921,0.64,0.24,0.1,0.01,0.01,4.5,0.61,16.99,7514,0.72,0.13,0.11,0.01,0.03,4.5,0.87
5238,28.99,16260,0.61,0.26,0.08,0.04,0.01,4.4,0.8,28.99,16745,0.6,0.32,0.01,0.03,0.04,4.4,0.95,16.99,16008,0.82,0.03,0.04,0.05,0.06,4.5,1.36,16.99,8936,0.86,0.03,0.01,0.04,0.06,4.6,1.22
5248,26.99,9002,0.74,0.18,0.02,0.03,0.03,4.6,0.77,24.99,8318,0.69,0.14,0.14,0.02,0.01,4.5,0.77,15.99,12333,0.7,0.2,0.05,0.01,0.04,4.5,0.9,15.99,16962,0.69,0.14,0.14,0.02,0.01,4.5,0.77
5266,24.99,6334,0.75,0.12,0.1,0.02,0.01,4.6,0.65,28.99,18014,0.75,0.18,0.03,0.01,0.03,4.6,0.71,16.99,8722,0.73,0.16,0.04,0.01,0.06,4.5,1.1,17.99,6931,0.77,0.13,0.06,0.03,0.01,4.6,0.68
5268,28.99,17484,0.65,0.25,0.07,0.01,0.02,4.5,0.67,24.99,9042,0.73,0.15,0.01,0.02,0.09,4.4,1.49,17.99,18219,0.71,0.12,0.12,0.04,0.01,4.5,0.85,15.99,11985,0.77,0.13,0.05,0.02,0.03,4.6,0.84
5273,24.99,19261,0.66,0.19,0.07,0.04,0.04,4.4,1.09,24.99,12379,0.72,0.13,0.11,0.01,0.03,4.5,0.87,15.99,12345,0.77,0.13,0.01,0.01,0.08,4.5,1.29,15.99,5917,0.77,0.12,0.05,0.03,0.03,4.6,0.86
5282,26.99,17336,0.65,0.19,0.11,0.03,0.02,4.4,0.91,28.99,13108,0.77,0.13,0.05,0.02,0.03,4.6,0.84,16.99,8852,0.6,0.32,0.01,0.03,0.04,4.4,0.95,17.99,11601,0.77,0.12,0.01,0.05,0.05,4.5,1.21
5284,24.99,11640,0.72,0.15,0.07,0.02,0.04,4.5,1.02,28.99,7551,0.78,0.15,0.02,0.01,0.04,4.6,0.89,17.99,5217,0.82,0.03,0.04,0.05,0.06,4.5,1.36,16.99,8891,0.73,0.15,0.01,0.02,0.09,4.4,1.49
5287,28.99,9337,0.73,0.15,0.01,0.02,0.09,4.4,1.49,28.99,6253,0.65,0.22,0.05,0.05,0.03,4.4,0.99,17.99,11519,0.75,0.17,0.03,0.02,0.03,4.6,0.79,17.99,11114,0.77,0.12,0.05,0.03,0.03,4.6,0.86
5297,24.99,16257,0.62,0.32,0.01,0.02,0.03,4.5,0.74,28.99,8573,0.75,0.17,0.03,0.02,0.03,4.6,0.79,15.99,6287,0.77,0.13,0.06,0.03,0.01,4.6,0.68,16.99,15526,0.82,0.03,0.04,0.05,0.06,4.5,1.36
5316,24.99,9758,0.62,0.32,0.01,0.02,0.03,4.5,0.74,28.99,19906,0.77,0.13,0.01,0.01,0.08,4.5,1.29,16.99,11584,0.82,0.01,0.01,0.07,0.09,4.4,1.74,17.99,8264,0.75,0.18,0.01,0.03,0.03,4.6,0.81
5333,24.99,6107,0.71,0.23,0.03,0.02,0.01,4.6,0.53,24.99,18085,0.6,0.28,0.08,0.02,0.02,4.4,0.76,15.99,19904,0.82,0.01,0.01,0.07,0.09,4.4,1.74,15.99,13443,0.82,0.05,0.02,0.01,0.1,4.5,1.5
5343,26.99,7814,0.73,0.16,0.04,0.01,0.06,4.5,1.1,26.99,7344,0.65,0.25,0.07,0.01,0.02,4.5,0.67,15.99,12742,0.72,0.14,0.07,0.04,0.03,4.5,0.98,15.99,12870,0.69,0.14,0.14,0.02,0.01,4.5,0.77
5350,28.99,19247,0.82,0.05,0.02,0.01,0.1,4.5,1.5,24.99,7659,0.77,0.13,0.06,0.03,0.01,4.6,0.68,17.99,10090,0.82,0.07,0.04,0.03,0.04,4.6,0.97,17.99,6219,0.77,0.13,0.05,0.02,0.03,4.6,0.84
5351,26.99,11233,0.75,0.18,0.03,0.01,0.03,4.6,0.71,24.99,7436,0.61,0.26,0.08,0.04,0.01,4.4,0.8,15.99,10482,0.83,0.07,0.01,0.02,0.07,4.6,1.19,15.99,5703,0.77,0.13,0.05,0.02,0.03,4.6,0.84
5352,24.99,5166,0.72,0.15,0.07,0.02,0.04,4.5,1.02,28.99,12757,0.81,0.08,0.06,0.01,0.04,4.6,0.93,16.99,18808,0.75,0.17,0.03,0.02,0.03,4.6,0.79,15.99,14885,0.71,0.17,0.01,0.02,0.09,4.4,1.43
5372,24.99,5393,0.82,0.05,0.02,0.01,0.1,4.5,1.5,28.99,12969,0.7,0.2,0.05,0.01,0.04,4.5,0.9,15.99,6828,0.6,0.28,0.08,0.02,0.02,4.4,0.76,17.99,14228,0.62,0.27,0.04,0.02,0.05,4.4,1.02
5377,24.99,9186,0.68,0.19,0.04,0.02,0.07,4.4,1.27,28.99,7768,0.82,0.05,0.02,0.01,0.1,4.5,1.5,17.99,5525,0.62,0.32,0.01,0.02,0.03,4.5,0.74,15.99,5126,0.68,0.18,0.05,0.03,0.06,4.4,1.22
5379,26.99,10762,0.86,0.03,0.01,0.04,0.06,4.6,1.22,24.99,9604,0.82,0.01,0.01,0.07,0.09,4.4,1.74,17.99,10210,0.72,0.14,0.07,0.04,0.03,4.5,0.98,16.99,11223,0.69,0.2,0.01,0.03,0.07,4.4,1.31
5384,26.99,16607,0.74,0.1,0.07,0.02,0.07,4.4,1.36,24.99,11329,0.83,0.05,0.05,0.03,0.04,4.6,1.04,15.99,17011,0.65,0.22,0.05,0.05,0.03,4.4,0.99,15.99,19350,0.74,0.1,0.07,0.02,0.07,4.4,1.36
5388,26.99,10066,0.71,0.12,0.12,0.04,0.01,4.5,0.85,26.99,18897,0.74,0.1,0.07,0.02,0.07,4.4,1.36,16.99,15500,0.75,0.12,0.1,0.02,0.01,4.6,0.65,15.99,16929,0.66,0.19,0.07,0.04,0.04,4.4,1.09
5389,28.99,6704,0.77,0.12,0.01,0.05,0.05,4.5,1.21,28.99,10609,0.72,0.13,0.11,0.01,0.03,4.5,0.87,17.99,19224,0.71,0.12,0.12,0.04,0.01,4.5,0.85,16.99,13182,0.77,0.12,0.01,0.05,0.05,4.5,1.21
5392,24.99,10615,0.7,0.18,0.06,0.05,0.01,4.5,0.81,26.99,14994,0.86,0.03,0.01,0.04,0.06,4.6,1.22,15.99,15720,0.77,0.12,0.01,0.05,0.05,4.5,1.21,15.99,10327,0.75,0.12,0.1,0.02,0.01,4.6,0.65
5394,26.99,11964,0.74,0.14,0.05,0.03,0.04,4.5,1.06,24.99,16639,0.6,0.28,0.08,0.02,0.02,4.4,0.76,15.99,12247,0.74,0.14,0.05,0.03,0.04,4.5,1.06,17.99,16818,0.75,0.12,0.1,0.02,0.01,4.6,0.65
5405,26.99,15649,0.71,0.17,0.01,0.02,0.09,4.4,1.43,28.99,18303,0.77,0.12,0.05,0.03,0.03,4.6,0.86,16.99,12066,0.72,0.13,0.11,0.01,0.03,4.5,0.87,15.99,6604,0.73,0.16,0.04,0.01,0.06,4.5,1.1
5409,24.99,8965,0.82,0.03,0.04,0.05,0.06,4.5,1.36,26.99,17369,0.77,0.13,0.05,0.02,0.03,4.6,0.84,17.99,13939,0.73,0.15,0.01,0.02,0.09,4.4,1.49,17.99,10932,0.68,0.18,0.05,0.03,0.06,4.4,1.22
5412,26.99,12517,0.82,0.01,0.01,0.07,0.09,4.4,1.74,24.99,7271,0.64,0.24,0.1,0.01,0.01,4.5,0.61,16.99,18600,0.66,0.19,0.07,0.04,0.04,4.4,1.09,17.99,17475,0.69,0.14,0.14,0.02,0.01,4.5,0.77
5415,28.99,15696,0.69,0.14,0.14,0.02,0.01,4.5,0.77,24.99,17272,0.76,0.08,0.02,0.06,0.08,4.4,1.54,16.99,10231,0.64,0.24,0.1,0.01,0.01,4.5,0.61,16.99,9233,0.62,0.32,0.01,0.02,0.03,4.5,0.74
5426,28.99,17069,0.72,0.15,0.07,0.02,0.04,4.5,1.02,26.99,16891,0.66,0.19,0.07,0.04,0.04,4.4,1.09,15.99,9666,0.82,0.09,0.01,0.03,0.05,4.6,1,17.99,17008,0.82,0.09,0.01,0.03,0.05,4.6,1
5428,28.99,19594,0.74,0.1,0.07,0.02,0.07,4.4,1.36,26.99,13566,0.72,0.18,0.07,0.02,0.01,4.6,0.62,17.99,17250,0.73,0.15,0.01,0.02,0.09,4.4,1.49,16.99,5117,0.62,0.26,0.05,0.02,0.05,4.4,1.05
5431,24.99,14668,0.66,0.22,0.09,0.02,0.01,4.5,0.7,26.99,18961,0.77,0.13,0.05,0.02,0.03,4.6,0.84,17.99,13215,0.77,0.13,0.06,0.03,0.01,4.6,0.68,15.99,13287,0.72,0.14,0.07,0.04,0.03,4.5,0.98
5436,26.99,7508,0.62,0.27,0.04,0.02,0.05,4.4,1.02,28.99,19589,0.82,0.05,0.02,0.01,0.1,4.5,1.5,15.99,10875,0.62,0.24,0.08,0.05,0.01,4.4,0.86,15.99,6805,0.76,0.08,0.04,0.02,0.1,4.4,1.64
5437,26.99,19126,0.75,0.18,0.03,0.01,0.03,4.6,0.71,24.99,17960,0.65,0.19,0.11,0.03,0.02,4.4,0.91,16.99,5783,0.75,0.17,0.03,0.02,0.03,4.6,0.79,15.99,10864,0.64,0.24,0.1,0.01,0.01,4.5,0.61
5442,24.99,11359,0.82,0.03,0.04,0.05,0.06,4.5,1.36,24.99,15406,0.74,0.14,0.05,0.03,0.04,4.5,1.06,16.99,7515,0.74,0.14,0.05,0.03,0.04,4.5,1.06,16.99,5396,0.82,0.03,0.04,0.05,0.06,4.5,1.36
5443,28.99,7230,0.82,0.05,0.02,0.01,0.1,4.5,1.5,28.99,19246,0.65,0.22,0.05,0.05,0.03,4.4,0.99,16.99,18103,0.65,0.19,0.11,0.03,0.02,4.4,0.91,16.99,16561,0.66,0.19,0.07,0.04,0.04,4.4,1.09
5452,24.99,9332,0.73,0.19,0.04,0.03,0.01,4.6,0.58,26.99,18953,0.86,0.03,0.01,0.04,0.06,4.6,1.22,16.99,13812,0.65,0.22,0.05,0.05,0.03,4.4,0.99,17.99,15677,0.69,0.18,0.07,0.02,0.04,4.5,0.93
5457,26.99,6944,0.77,0.13,0.06,0.03,0.01,4.6,0.68,26.99,13987,0.74,0.1,0.07,0.02,0.07,4.4,1.36,16.99,15518,0.77,0.13,0.01,0.01,0.08,4.5,1.29,16.99,8379,0.75,0.18,0.01,0.03,0.03,4.6,0.81
5459,24.99,7616,0.82,0.09,0.01,0.03,0.05,4.6,1,26.99,14755,0.73,0.16,0.04,0.01,0.06,4.5,1.1,17.99,16929,0.78,0.07,0.06,0.05,0.04,4.5,1.15,17.99,13708,0.82,0.05,0.02,0.01,0.1,4.5,1.5
5461,24.99,11388,0.76,0.08,0.02,0.06,0.08,4.4,1.54,26.99,11506,0.86,0.03,0.01,0.04,0.06,4.6,1.22,17.99,10296,0.64,0.24,0.1,0.01,0.01,4.5,0.61,16.99,17518,0.71,0.17,0.01,0.02,0.09,4.4,1.43
5469,28.99,17231,0.75,0.12,0.1,0.02,0.01,4.6,0.65,26.99,9982,0.75,0.12,0.1,0.02,0.01,4.6,0.65,16.99,8230,0.72,0.14,0.07,0.04,0.03,4.5,0.98,17.99,14314,0.77,0.13,0.05,0.02,0.03,4.6,0.84
5471,26.99,10979,0.82,0.01,0.01,0.07,0.09,4.4,1.74,28.99,19811,0.52,0.4,0.03,0.03,0.02,4.4,0.66,15.99,5682,0.75,0.12,0.1,0.02,0.01,4.6,0.65,16.99,13078,0.69,0.14,0.14,0.02,0.01,4.5,0.77
5476,24.99,5808,0.74,0.1,0.07,0.02,0.07,4.4,1.36,26.99,18410,0.52,0.4,0.03,0.03,0.02,4.4,0.66,15.99,13311,0.81,0.08,0.06,0.01,0.04,4.6,0.93,15.99,18738,0.74,0.14,0.05,0.03,0.04,4.5,1.06
5479,26.99,10357,0.78,0.15,0.02,0.01,0.04,4.6,0.89,24.99,16489,0.72,0.13,0.11,0.01,0.03,4.5,0.87,15.99,6658,0.82,0.01,0.01,0.07,0.09,4.4,1.74,16.99,7883,0.66,0.22,0.09,0.02,0.01,4.5,0.7
5493,28.99,14183,0.77,0.12,0.05,0.03,0.03,4.6,0.86,24.99,15426,0.77,0.13,0.01,0.01,0.08,4.5,1.29,16.99,6623,0.74,0.1,0.07,0.02,0.07,4.4,1.36,17.99,17866,0.77,0.13,0.06,0.03,0.01,4.6,0.68
5494,28.99,5185,0.77,0.11,0.07,0.04,0.01,4.6,0.74,28.99,12470,0.62,0.26,0.05,0.02,0.05,4.4,1.05,16.99,6798,0.62,0.26,0.05,0.02,0.05,4.4,1.05,17.99,18250,0.82,0.03,0.04,0.05,0.06,4.5,1.36
5498,26.99,10716,0.77,0.13,0.01,0.01,0.08,4.5,1.29,26.99,14908,0.69,0.18,0.07,0.02,0.04,4.5,0.93,17.99,15367,0.86,0.03,0.01,0.04,0.06,4.6,1.22,15.99,11608,0.73,0.16,0.04,0.01,0.06,4.5,1.1
5500,28.99,15332,0.62,0.26,0.05,0.02,0.05,4.4,1.05,24.99,7610,0.77,0.13,0.01,0.01,0.08,4.5,1.29,16.99,16077,0.72,0.18,0.07,0.02,0.01,4.6,0.62,15.99,5001,0.81,0.08,0.06,0.01,0.04,4.6,0.93
5508,26.99,19395,0.66,0.19,0.07,0.04,0.04,4.4,1.09,26.99,15674,0.74,0.1,0.07,0.02,0.07,4.4,1.36,17.99,17813,0.82,0.01,0.01,0.07,0.09,4.4,1.74,17.99,17094,0.82,0.01,0.01,0.07,0.09,4.4,1.74
5512,28.99,17307,0.77,0.11,0.07,0.04,0.01,4.6,0.74,24.99,18419,0.72,0.15,0.07,0.02,0.04,4.5,1.02,15.99,5901,0.82,0.05,0.02,0.01,0.1,4.5,1.5,17.99,16798,0.77,0.12,0.05,0.03,0.03,4.6,0.86
