"","e1_pr","e1_vol","e1_s1","e1_s2","e1_s3","e1_s4","e1_s5","e1_mean","e1_var","e2_pr","e2_vol","e2_s1","e2_s2","e2_s3","e2_s4","e2_s5","e2_mean","e2_var","b1_pr","b1_vol","b1_s1","b1_s2","b1_s3","b1_s4","b1_s5","b1_mean","b1_var","b2_pr","b2_vol","b2_s1","b2_s2","b2_s3","b2_s4","b2_s5","b2_mean","b2_var"
"246",26.99,12708,0.57,0.32,0.07,0.03,0.01,4.4,0.7,28.99,9855,0.73,0.19,0.04,0.01,0.03,4.6,0.72,16.99,19337,0.68,0.18,0.12,0.01,0.01,4.5,0.7,14.99,5748,0.66,0.14,0.14,0.03,0.03,4.4,1.02
"247",28.99,9944,0.7,0.2,0.03,0.03,0.04,4.5,0.99,28.99,9042,0.62,0.31,0.03,0.01,0.03,4.5,0.69,14.99,19444,0.77,0.11,0.09,0.01,0.02,4.6,0.72,16.99,14638,0.62,0.31,0.03,0.01,0.03,4.5,0.69
"248",24.99,18151,0.82,0.06,0.04,0.04,0.04,4.6,1,26.99,13657,0.68,0.12,0.12,0.07,0.01,4.4,1,16.99,5128,0.88,0.01,0.01,0.03,0.07,4.6,1.28,16.99,10945,0.87,0.02,0.02,0.02,0.07,4.6,1.28
"249",26.99,19069,0.63,0.3,0.03,0.01,0.03,4.5,0.7,28.99,7251,0.79,0.09,0.01,0.05,0.06,4.5,1.3,14.99,18279,0.75,0.12,0.07,0.02,0.04,4.5,1.02,14.99,16637,0.73,0.1,0.09,0.01,0.07,4.4,1.3
"250",26.99,5887,0.81,0.1,0.02,0.02,0.05,4.6,0.99,26.99,10925,0.72,0.14,0.04,0.03,0.07,4.4,1.32,18.99,14593,0.81,0.11,0.01,0.02,0.05,4.6,1,14.99,8759,0.57,0.32,0.07,0.03,0.01,4.4,0.7
"251",24.99,10362,0.81,0.08,0.03,0.04,0.04,4.6,1,26.99,15353,0.7,0.2,0.03,0.03,0.04,4.5,1.01,14.99,16556,0.87,0.01,0.01,0.05,0.06,4.6,1.28,14.99,5793,0.77,0.11,0.09,0.01,0.02,4.6,0.72
"252",26.99,12923,0.73,0.19,0.04,0.01,0.03,4.6,0.72,26.99,17244,0.75,0.12,0.07,0.02,0.04,4.5,1.02,16.99,16368,0.77,0.11,0.03,0.01,0.08,4.5,1.28,16.99,16382,0.56,0.32,0.09,0.02,0.01,4.4,0.68
"253",26.99,18082,0.71,0.18,0.04,0.02,0.05,4.5,1,26.99,16619,0.87,0.02,0.02,0.01,0.08,4.6,1.32,18.99,14455,0.55,0.35,0.07,0.01,0.02,4.4,0.7,18.99,16890,0.77,0.11,0.03,0.01,0.08,4.5,1.31
"254",24.99,12733,0.73,0.1,0.09,0.01,0.07,4.4,1.3,24.99,17648,0.8,0.08,0.03,0.01,0.08,4.5,1.31,14.99,18617,0.57,0.28,0.11,0.03,0.01,4.4,0.72,18.99,13353,0.79,0.13,0.01,0.01,0.06,4.6,1
"255",28.99,18160,0.62,0.31,0.03,0.01,0.03,4.5,0.7,26.99,15307,0.71,0.18,0.04,0.02,0.05,4.5,1,14.99,14790,0.82,0.06,0.05,0.03,0.04,4.6,1.02,18.99,15979,0.75,0.1,0.07,0.06,0.02,4.5,0.99
"256",28.99,19979,0.77,0.11,0.09,0.02,0.01,4.6,0.71,28.99,9299,0.72,0.14,0.04,0.03,0.07,4.4,1.32,16.99,16323,0.69,0.21,0.04,0.01,0.05,4.5,0.98,18.99,5449,0.8,0.08,0.03,0.01,0.08,4.5,1.31
"257",26.99,6494,0.62,0.32,0.02,0.02,0.02,4.5,0.68,28.99,10983,0.71,0.19,0.03,0.03,0.04,4.5,1.01,18.99,19302,0.72,0.1,0.09,0.04,0.05,4.4,1.3,16.99,17276,0.66,0.14,0.14,0.03,0.03,4.4,1.02
"258",24.99,10888,0.8,0.11,0.02,0.01,0.06,4.6,1.01,24.99,7664,0.75,0.12,0.08,0.04,0.01,4.6,0.69,14.99,9801,0.87,0.02,0.02,0.01,0.08,4.6,1.32,14.99,17097,0.76,0.12,0.09,0.02,0.01,4.6,0.69
"259",28.99,9294,0.81,0.11,0.01,0.02,0.05,4.6,1,24.99,14160,0.61,0.3,0.01,0.04,0.04,4.4,1.01,14.99,16894,0.77,0.11,0.01,0.05,0.06,4.5,1.29,18.99,17313,0.66,0.24,0.06,0.02,0.02,4.5,0.71
"260",26.99,16397,0.57,0.32,0.07,0.03,0.01,4.4,0.7,28.99,5188,0.81,0.08,0.03,0.04,0.04,4.6,1,18.99,15146,0.56,0.32,0.09,0.02,0.01,4.4,0.68,14.99,13629,0.7,0.2,0.03,0.03,0.04,4.5,1.01
"261",28.99,8921,0.56,0.32,0.09,0.02,0.01,4.4,0.68,28.99,14917,0.69,0.17,0.04,0.04,0.06,4.4,1.3,14.99,8704,0.72,0.14,0.04,0.03,0.07,4.4,1.32,14.99,8041,0.77,0.11,0.03,0.01,0.08,4.5,1.28
"262",24.99,16842,0.77,0.12,0.02,0.01,0.08,4.5,1.31,28.99,11403,0.57,0.32,0.07,0.03,0.01,4.4,0.7,16.99,8077,0.7,0.2,0.03,0.03,0.04,4.5,1.01,16.99,14732,0.82,0.06,0.05,0.03,0.04,4.6,1.02
"263",28.99,6262,0.75,0.12,0.07,0.02,0.04,4.5,1.02,28.99,6677,0.79,0.09,0.01,0.05,0.06,4.5,1.3,14.99,14447,0.77,0.11,0.07,0.04,0.01,4.6,0.7,14.99,19009,0.55,0.38,0.03,0.01,0.03,4.4,0.71
"264",24.99,10598,0.73,0.19,0.04,0.01,0.03,4.6,0.72,24.99,19882,0.87,0.01,0.02,0.03,0.07,4.6,1.29,16.99,7367,0.88,0.01,0.01,0.03,0.07,4.6,1.28,18.99,13627,0.87,0.02,0.02,0.01,0.08,4.6,1.29
"265",26.99,17985,0.75,0.12,0.07,0.02,0.04,4.5,1.02,28.99,5682,0.78,0.12,0.01,0.01,0.08,4.5,1.31,18.99,13115,0.71,0.19,0.03,0.03,0.04,4.5,1.01,18.99,13540,0.82,0.06,0.05,0.03,0.04,4.6,1.02
"266",28.99,14189,0.62,0.32,0.02,0.02,0.02,4.5,0.68,28.99,15495,0.71,0.16,0.05,0.01,0.07,4.4,1.3,16.99,19352,0.7,0.2,0.03,0.03,0.04,4.5,0.99,14.99,16423,0.81,0.1,0.02,0.02,0.05,4.6,0.99
"267",26.99,12152,0.86,0.04,0.01,0.01,0.08,4.6,1.3,24.99,16961,0.88,0.01,0.01,0.03,0.07,4.6,1.28,18.99,18651,0.86,0.04,0.01,0.01,0.08,4.6,1.3,18.99,7232,0.74,0.11,0.08,0.04,0.03,4.5,1
"268",24.99,8267,0.61,0.23,0.14,0.01,0.01,4.4,0.71,26.99,7454,0.77,0.11,0.03,0.01,0.08,4.5,1.31,14.99,18330,0.54,0.41,0.01,0.01,0.03,4.4,0.69,16.99,6747,0.72,0.14,0.04,0.03,0.07,4.4,1.32
"269",26.99,16418,0.66,0.2,0.11,0.02,0.01,4.5,0.69,26.99,6963,0.72,0.1,0.09,0.04,0.05,4.4,1.3,18.99,16598,0.82,0.06,0.04,0.04,0.04,4.6,1,14.99,15264,0.55,0.35,0.07,0.01,0.02,4.4,0.7
"270",24.99,19261,0.85,0.05,0.01,0.01,0.08,4.6,1.3,26.99,13808,0.81,0.1,0.02,0.02,0.05,4.6,0.99,14.99,8002,0.77,0.11,0.01,0.05,0.06,4.5,1.29,14.99,11404,0.84,0.07,0.01,0.04,0.04,4.6,1.01
"271",26.99,9834,0.71,0.18,0.04,0.02,0.05,4.5,1,26.99,13314,0.74,0.11,0.08,0.04,0.03,4.5,1,18.99,6103,0.76,0.12,0.09,0.02,0.01,4.6,0.69,14.99,7548,0.87,0.02,0.02,0.01,0.08,4.6,1.32
"272",26.99,16202,0.77,0.11,0.09,0.01,0.02,4.6,0.72,24.99,18728,0.61,0.3,0.02,0.02,0.05,4.4,0.99,16.99,6775,0.63,0.32,0.01,0.01,0.03,4.5,0.69,14.99,9652,0.65,0.23,0.09,0.02,0.01,4.5,0.69
"273",24.99,17984,0.87,0.01,0.02,0.03,0.07,4.6,1.29,28.99,6797,0.55,0.38,0.03,0.01,0.03,4.4,0.71,14.99,11312,0.82,0.06,0.05,0.03,0.04,4.6,1.02,16.99,16036,0.67,0.17,0.1,0.02,0.04,4.4,1.01
"274",28.99,10099,0.86,0.03,0.02,0.01,0.08,4.6,1.3,24.99,18828,0.56,0.32,0.09,0.02,0.01,4.4,0.68,16.99,17401,0.71,0.11,0.1,0.01,0.07,4.4,1.32,14.99,6602,0.52,0.41,0.03,0.01,0.03,4.4,0.68
"275",24.99,7569,0.68,0.12,0.12,0.07,0.01,4.4,1,24.99,7805,0.66,0.17,0.12,0.01,0.04,4.4,0.99,16.99,12197,0.72,0.12,0.08,0.01,0.07,4.4,1.28,18.99,14984,0.68,0.18,0.12,0.01,0.01,4.5,0.7
"276",28.99,16914,0.68,0.18,0.12,0.01,0.01,4.5,0.7,28.99,14356,0.66,0.26,0.04,0.02,0.02,4.5,0.71,14.99,9075,0.55,0.35,0.07,0.01,0.02,4.4,0.7,18.99,17401,0.57,0.32,0.07,0.03,0.01,4.4,0.7
"277",28.99,11827,0.87,0.01,0.01,0.05,0.06,4.6,1.28,24.99,18537,0.61,0.23,0.14,0.01,0.01,4.4,0.71,18.99,8757,0.71,0.16,0.03,0.04,0.06,4.4,1.28,18.99,7713,0.64,0.24,0.05,0.03,0.04,4.4,1
"278",28.99,16867,0.72,0.14,0.04,0.03,0.07,4.4,1.32,26.99,16290,0.87,0.02,0.02,0.02,0.07,4.6,1.28,14.99,14291,0.57,0.32,0.07,0.03,0.01,4.4,0.7,18.99,19012,0.71,0.19,0.03,0.03,0.04,4.5,1.01
"279",26.99,15797,0.64,0.24,0.05,0.03,0.04,4.4,1,28.99,16966,0.73,0.19,0.04,0.01,0.03,4.6,0.72,16.99,18760,0.76,0.13,0.08,0.01,0.02,4.6,0.68,14.99,9333,0.69,0.15,0.08,0.02,0.06,4.4,1.28
"280",24.99,6939,0.78,0.11,0.08,0.01,0.02,4.6,0.7,28.99,12269,0.71,0.11,0.1,0.01,0.07,4.4,1.32,14.99,17856,0.66,0.24,0.06,0.02,0.02,4.5,0.71,16.99,5240,0.63,0.32,0.01,0.01,0.03,4.5,0.69
"281",28.99,5783,0.73,0.18,0.04,0.03,0.02,4.6,0.69,24.99,18911,0.55,0.33,0.09,0.01,0.02,4.4,0.72,18.99,18340,0.73,0.18,0.04,0.03,0.02,4.6,0.69,14.99,9078,0.66,0.24,0.06,0.02,0.02,4.5,0.71
"282",26.99,8549,0.76,0.13,0.08,0.01,0.02,4.6,0.68,26.99,8701,0.82,0.06,0.04,0.04,0.04,4.6,1,16.99,17943,0.87,0.02,0.02,0.01,0.08,4.6,1.32,14.99,9824,0.75,0.12,0.07,0.02,0.04,4.5,1.02
"283",28.99,18920,0.62,0.32,0.02,0.02,0.02,4.5,0.68,26.99,13166,0.8,0.08,0.01,0.05,0.06,4.5,1.3,18.99,12212,0.66,0.14,0.14,0.03,0.03,4.4,1.02,14.99,16573,0.64,0.24,0.05,0.03,0.04,4.4,1
"284",24.99,15049,0.71,0.19,0.03,0.03,0.04,4.5,1.01,28.99,10610,0.78,0.11,0.08,0.01,0.02,4.6,0.7,18.99,18560,0.86,0.04,0.01,0.01,0.08,4.6,1.3,14.99,16729,0.61,0.23,0.14,0.01,0.01,4.4,0.71
"285",28.99,18586,0.72,0.13,0.08,0.04,0.03,4.5,0.99,24.99,16694,0.61,0.3,0.01,0.04,0.04,4.4,1.01,16.99,14919,0.72,0.1,0.09,0.04,0.05,4.4,1.3,16.99,17273,0.68,0.18,0.12,0.01,0.01,4.5,0.7
"286",26.99,14485,0.77,0.11,0.01,0.05,0.06,4.5,1.29,26.99,6185,0.71,0.16,0.03,0.04,0.06,4.4,1.28,14.99,12151,0.68,0.12,0.12,0.07,0.01,4.4,1,14.99,5045,0.71,0.11,0.1,0.01,0.07,4.4,1.32
"287",26.99,16274,0.7,0.2,0.03,0.03,0.04,4.5,0.99,26.99,15963,0.82,0.1,0.01,0.03,0.04,4.6,0.99,14.99,7500,0.78,0.11,0.08,0.01,0.02,4.6,0.7,18.99,12129,0.87,0.02,0.02,0.02,0.07,4.6,1.28
"288",28.99,14560,0.66,0.26,0.04,0.02,0.02,4.5,0.71,28.99,7275,0.77,0.11,0.09,0.01,0.02,4.6,0.72,16.99,11239,0.75,0.1,0.07,0.06,0.02,4.5,0.99,16.99,15682,0.77,0.11,0.09,0.01,0.02,4.6,0.72
"289",28.99,10804,0.77,0.11,0.09,0.02,0.01,4.6,0.71,28.99,5926,0.72,0.14,0.04,0.03,0.07,4.4,1.32,18.99,6735,0.61,0.3,0.02,0.02,0.05,4.4,0.99,16.99,18984,0.72,0.14,0.04,0.03,0.07,4.4,1.32
"290",26.99,15687,0.71,0.19,0.03,0.03,0.04,4.5,1.01,26.99,8869,0.73,0.18,0.04,0.03,0.02,4.6,0.69,16.99,5225,0.8,0.11,0.02,0.01,0.06,4.6,1.01,18.99,13621,0.86,0.03,0.02,0.01,0.08,4.6,1.3
"291",26.99,10738,0.72,0.14,0.04,0.03,0.07,4.4,1.32,28.99,16866,0.65,0.22,0.06,0.03,0.04,4.4,0.99,14.99,18868,0.77,0.11,0.07,0.04,0.01,4.6,0.7,16.99,16624,0.81,0.11,0.01,0.02,0.05,4.6,1
"292",28.99,15444,0.75,0.1,0.07,0.06,0.02,4.5,0.99,26.99,19238,0.67,0.17,0.1,0.02,0.04,4.4,1.01,18.99,9166,0.66,0.26,0.04,0.02,0.02,4.5,0.71,14.99,12353,0.71,0.19,0.03,0.03,0.04,4.5,1.01
"293",26.99,15551,0.8,0.08,0.01,0.05,0.06,4.5,1.3,28.99,13255,0.61,0.3,0.01,0.04,0.04,4.4,1.01,18.99,18314,0.8,0.11,0.02,0.01,0.06,4.6,1.01,16.99,10099,0.73,0.19,0.04,0.01,0.03,4.6,0.72
"294",24.99,17761,0.55,0.33,0.09,0.01,0.02,4.4,0.72,26.99,15753,0.8,0.11,0.02,0.01,0.06,4.6,1.01,14.99,16419,0.62,0.31,0.03,0.01,0.03,4.5,0.69,18.99,7310,0.77,0.11,0.03,0.01,0.08,4.5,1.31
"295",26.99,19170,0.62,0.32,0.02,0.02,0.02,4.5,0.68,28.99,17681,0.65,0.23,0.09,0.02,0.01,4.5,0.69,14.99,7405,0.66,0.2,0.11,0.02,0.01,4.5,0.69,18.99,12806,0.55,0.33,0.09,0.01,0.02,4.4,0.72
"296",24.99,11024,0.84,0.07,0.01,0.04,0.04,4.6,1.01,28.99,13980,0.72,0.13,0.08,0.04,0.03,4.5,0.99,16.99,9027,0.78,0.11,0.08,0.01,0.02,4.6,0.7,14.99,11125,0.65,0.22,0.06,0.03,0.04,4.4,0.99
"297",26.99,5397,0.69,0.21,0.04,0.01,0.05,4.5,0.98,28.99,12824,0.78,0.11,0.08,0.01,0.02,4.6,0.7,18.99,19002,0.71,0.19,0.03,0.03,0.04,4.5,1.01,16.99,13419,0.82,0.06,0.04,0.04,0.04,4.6,1
"298",26.99,11988,0.78,0.11,0.08,0.01,0.02,4.6,0.7,28.99,8045,0.65,0.22,0.06,0.03,0.04,4.4,0.99,16.99,18713,0.76,0.13,0.08,0.01,0.02,4.6,0.68,14.99,8423,0.56,0.32,0.09,0.02,0.01,4.4,0.68
"299",24.99,6839,0.82,0.1,0.01,0.03,0.04,4.6,0.99,28.99,13179,0.66,0.2,0.11,0.02,0.01,4.5,0.69,16.99,9745,0.72,0.1,0.09,0.04,0.05,4.4,1.3,14.99,12662,0.62,0.31,0.03,0.01,0.03,4.5,0.7
"300",24.99,6203,0.77,0.11,0.03,0.01,0.08,4.5,1.28,28.99,7851,0.82,0.06,0.04,0.04,0.04,4.6,1,18.99,11598,0.82,0.06,0.05,0.03,0.04,4.6,1.02,14.99,11311,0.79,0.13,0.01,0.01,0.06,4.6,1
"301",28.99,14596,0.73,0.1,0.09,0.01,0.07,4.4,1.3,24.99,12120,0.86,0.04,0.01,0.01,0.08,4.6,1.31,14.99,5212,0.52,0.41,0.03,0.01,0.03,4.4,0.68,14.99,12974,0.75,0.12,0.07,0.02,0.04,4.5,1.02
"302",26.99,9084,0.77,0.11,0.09,0.01,0.02,4.6,0.72,24.99,19563,0.8,0.08,0.01,0.05,0.06,4.5,1.3,18.99,13718,0.87,0.02,0.02,0.01,0.08,4.6,1.29,18.99,5214,0.62,0.31,0.03,0.01,0.03,4.5,0.7
"303",24.99,10116,0.62,0.31,0.03,0.01,0.03,4.5,0.7,26.99,7606,0.83,0.05,0.05,0.04,0.03,4.6,0.99,16.99,18772,0.62,0.29,0.02,0.02,0.05,4.4,1.02,16.99,16504,0.66,0.17,0.12,0.01,0.04,4.4,0.99
"304",28.99,19680,0.82,0.06,0.04,0.04,0.04,4.6,1,28.99,13287,0.86,0.04,0.01,0.01,0.08,4.6,1.31,18.99,11507,0.73,0.18,0.04,0.03,0.02,4.6,0.69,16.99,17431,0.55,0.38,0.03,0.01,0.03,4.4,0.71
"305",24.99,13953,0.55,0.38,0.03,0.01,0.03,4.4,0.71,26.99,13137,0.75,0.12,0.08,0.04,0.01,4.6,0.69,16.99,15648,0.71,0.19,0.03,0.03,0.04,4.5,1.01,14.99,14139,0.69,0.15,0.08,0.02,0.06,4.4,1.28
"306",28.99,10926,0.54,0.41,0.01,0.01,0.03,4.4,0.69,28.99,10929,0.72,0.14,0.04,0.03,0.07,4.4,1.32,14.99,18712,0.68,0.12,0.12,0.07,0.01,4.4,1,18.99,12726,0.76,0.13,0.08,0.01,0.02,4.6,0.68
"307",24.99,5479,0.87,0.02,0.02,0.01,0.08,4.6,1.29,24.99,18186,0.71,0.19,0.03,0.03,0.04,4.5,1.01,18.99,10801,0.71,0.11,0.1,0.01,0.07,4.4,1.32,16.99,18704,0.77,0.11,0.09,0.01,0.02,4.6,0.72
"308",28.99,8244,0.8,0.09,0.02,0.02,0.07,4.5,1.29,28.99,19607,0.71,0.19,0.03,0.03,0.04,4.5,1.01,16.99,6512,0.86,0.04,0.01,0.01,0.08,4.6,1.31,14.99,16016,0.56,0.32,0.09,0.02,0.01,4.4,0.68
"309",28.99,11601,0.65,0.23,0.09,0.02,0.01,4.5,0.69,28.99,5061,0.8,0.11,0.02,0.01,0.06,4.6,1.01,14.99,11950,0.73,0.1,0.09,0.01,0.07,4.4,1.3,18.99,19417,0.53,0.37,0.06,0.02,0.02,4.4,0.7
"310",26.99,5293,0.77,0.11,0.07,0.04,0.01,4.6,0.7,26.99,9420,0.71,0.11,0.1,0.01,0.07,4.4,1.32,16.99,12804,0.72,0.13,0.07,0.05,0.03,4.5,0.99,16.99,10909,0.71,0.11,0.1,0.01,0.07,4.4,1.32
"311",26.99,14694,0.77,0.12,0.02,0.01,0.08,4.5,1.31,26.99,12032,0.77,0.11,0.09,0.02,0.01,4.6,0.71,18.99,7037,0.77,0.11,0.09,0.01,0.02,4.6,0.72,14.99,10885,0.67,0.17,0.1,0.02,0.04,4.4,1.01
"312",26.99,17022,0.77,0.11,0.03,0.01,0.08,4.5,1.31,28.99,12411,0.68,0.12,0.12,0.07,0.01,4.4,1,18.99,15905,0.86,0.04,0.01,0.01,0.08,4.6,1.31,16.99,11002,0.71,0.18,0.04,0.02,0.05,4.5,1
"313",24.99,5265,0.82,0.06,0.04,0.04,0.04,4.6,1,26.99,9393,0.68,0.12,0.12,0.07,0.01,4.4,1,16.99,19545,0.62,0.29,0.02,0.02,0.05,4.4,1.02,16.99,5393,0.66,0.17,0.12,0.01,0.04,4.4,0.99
"314",26.99,15704,0.72,0.13,0.08,0.04,0.03,4.5,0.99,28.99,12605,0.65,0.23,0.09,0.02,0.01,4.5,0.69,16.99,15811,0.76,0.13,0.08,0.01,0.02,4.6,0.68,18.99,18963,0.75,0.1,0.07,0.06,0.02,4.5,0.99
"315",28.99,15997,0.55,0.35,0.07,0.01,0.02,4.4,0.7,24.99,10968,0.6,0.31,0.01,0.03,0.05,4.4,0.99,18.99,8997,0.55,0.35,0.07,0.01,0.02,4.4,0.7,18.99,19002,0.62,0.32,0.02,0.02,0.02,4.5,0.68
"316",26.99,16583,0.53,0.37,0.06,0.02,0.02,4.4,0.7,26.99,5944,0.87,0.02,0.02,0.02,0.07,4.6,1.28,16.99,5244,0.63,0.3,0.03,0.01,0.03,4.5,0.7,18.99,19198,0.63,0.3,0.03,0.01,0.03,4.5,0.7
"317",26.99,14883,0.66,0.17,0.12,0.01,0.04,4.4,0.99,26.99,19905,0.75,0.1,0.07,0.06,0.02,4.5,0.99,14.99,6508,0.56,0.32,0.09,0.02,0.01,4.4,0.68,14.99,10583,0.79,0.13,0.01,0.01,0.06,4.6,1
"318",24.99,12395,0.52,0.41,0.03,0.01,0.03,4.4,0.68,26.99,8712,0.64,0.24,0.05,0.03,0.04,4.4,1,16.99,14934,0.75,0.12,0.07,0.02,0.04,4.5,1.02,14.99,19620,0.63,0.3,0.03,0.01,0.03,4.5,0.7
"319",24.99,14005,0.66,0.17,0.12,0.01,0.04,4.4,0.99,24.99,18369,0.55,0.38,0.03,0.01,0.03,4.4,0.71,14.99,16614,0.74,0.11,0.08,0.04,0.03,4.5,1,14.99,9797,0.62,0.31,0.03,0.01,0.03,4.5,0.69
"320",28.99,9126,0.71,0.18,0.04,0.02,0.05,4.5,1,24.99,9845,0.77,0.11,0.03,0.02,0.07,4.5,1.3,14.99,9951,0.68,0.18,0.12,0.01,0.01,4.5,0.7,16.99,10033,0.71,0.16,0.05,0.01,0.07,4.4,1.3
"321",24.99,12764,0.73,0.19,0.04,0.01,0.03,4.6,0.72,28.99,13167,0.68,0.12,0.12,0.07,0.01,4.4,1,18.99,6990,0.82,0.1,0.01,0.03,0.04,4.6,0.99,18.99,8911,0.55,0.38,0.03,0.01,0.03,4.4,0.71
"322",24.99,14756,0.87,0.02,0.02,0.01,0.08,4.6,1.32,24.99,11174,0.57,0.28,0.11,0.03,0.01,4.4,0.72,14.99,6904,0.7,0.2,0.03,0.03,0.04,4.5,1.01,18.99,12436,0.75,0.16,0.05,0.02,0.02,4.6,0.71
"323",28.99,7093,0.74,0.11,0.08,0.04,0.03,4.5,1,24.99,8432,0.78,0.12,0.01,0.01,0.08,4.5,1.31,18.99,10874,0.67,0.22,0.01,0.02,0.08,4.4,1.32,14.99,15015,0.83,0.05,0.05,0.04,0.03,4.6,0.99
"324",26.99,12963,0.87,0.02,0.02,0.01,0.08,4.6,1.29,28.99,5399,0.54,0.41,0.01,0.01,0.03,4.4,0.69,16.99,17965,0.86,0.04,0.01,0.01,0.08,4.6,1.31,18.99,17632,0.68,0.18,0.12,0.01,0.01,4.5,0.7
"325",26.99,13385,0.61,0.3,0.02,0.02,0.05,4.4,0.99,26.99,18406,0.72,0.1,0.09,0.04,0.05,4.4,1.3,16.99,6579,0.84,0.07,0.01,0.04,0.04,4.6,1.01,18.99,7065,0.84,0.07,0.01,0.04,0.04,4.6,1.01
"326",26.99,16648,0.71,0.19,0.03,0.03,0.04,4.5,1.01,24.99,15802,0.66,0.26,0.04,0.02,0.02,4.5,0.71,16.99,18110,0.73,0.18,0.04,0.03,0.02,4.6,0.69,18.99,16578,0.68,0.12,0.12,0.07,0.01,4.4,1
"327",26.99,12328,0.52,0.41,0.03,0.01,0.03,4.4,0.68,26.99,8177,0.77,0.11,0.07,0.04,0.01,4.6,0.7,18.99,14640,0.65,0.23,0.09,0.02,0.01,4.5,0.69,14.99,13387,0.79,0.09,0.01,0.05,0.06,4.5,1.3
"328",26.99,9197,0.81,0.11,0.01,0.02,0.05,4.6,1,28.99,5480,0.72,0.14,0.04,0.03,0.07,4.4,1.32,16.99,17194,0.78,0.11,0.08,0.01,0.02,4.6,0.7,16.99,13190,0.79,0.13,0.01,0.01,0.06,4.6,1
"329",24.99,9800,0.55,0.38,0.03,0.01,0.03,4.4,0.71,28.99,19237,0.76,0.12,0.09,0.02,0.01,4.6,0.69,18.99,17941,0.87,0.01,0.01,0.05,0.06,4.6,1.28,14.99,11326,0.79,0.09,0.01,0.05,0.06,4.5,1.3
"330",28.99,19295,0.67,0.22,0.01,0.02,0.08,4.4,1.32,24.99,12906,0.76,0.12,0.09,0.02,0.01,4.6,0.69,18.99,14808,0.68,0.18,0.12,0.01,0.01,4.5,0.7,18.99,13081,0.83,0.05,0.05,0.04,0.03,4.6,0.99
"331",26.99,19981,0.56,0.32,0.09,0.02,0.01,4.4,0.68,28.99,19322,0.75,0.16,0.05,0.02,0.02,4.6,0.71,18.99,9555,0.77,0.11,0.09,0.02,0.01,4.6,0.71,16.99,13291,0.87,0.02,0.02,0.01,0.08,4.6,1.32
"332",26.99,14063,0.72,0.14,0.04,0.03,0.07,4.4,1.32,24.99,8916,0.86,0.04,0.01,0.01,0.08,4.6,1.3,18.99,5184,0.72,0.1,0.09,0.04,0.05,4.4,1.3,18.99,13464,0.72,0.13,0.08,0.04,0.03,4.5,0.99
"333",28.99,12884,0.69,0.21,0.04,0.01,0.05,4.5,0.98,24.99,17761,0.62,0.29,0.02,0.02,0.05,4.4,1.02,14.99,18521,0.77,0.11,0.03,0.01,0.08,4.5,1.31,14.99,8007,0.57,0.28,0.11,0.03,0.01,4.4,0.72
"334",24.99,8838,0.77,0.11,0.03,0.01,0.08,4.5,1.28,24.99,7992,0.55,0.35,0.07,0.01,0.02,4.4,0.7,16.99,7376,0.76,0.13,0.08,0.01,0.02,4.6,0.68,16.99,16405,0.66,0.24,0.06,0.02,0.02,4.5,0.71
"335",28.99,10441,0.74,0.11,0.08,0.04,0.03,4.5,1,28.99,15560,0.83,0.05,0.05,0.04,0.03,4.6,0.99,18.99,10102,0.69,0.17,0.04,0.04,0.06,4.4,1.3,18.99,6895,0.8,0.08,0.01,0.05,0.06,4.5,1.3
"336",24.99,17136,0.69,0.17,0.04,0.04,0.06,4.4,1.3,28.99,12686,0.55,0.35,0.07,0.01,0.02,4.4,0.7,14.99,6454,0.72,0.14,0.04,0.03,0.07,4.4,1.32,16.99,15753,0.79,0.09,0.01,0.05,0.06,4.5,1.3
"337",28.99,19252,0.71,0.11,0.1,0.01,0.07,4.4,1.32,28.99,17698,0.66,0.2,0.11,0.02,0.01,4.5,0.69,16.99,13206,0.73,0.1,0.09,0.01,0.07,4.4,1.3,16.99,12840,0.75,0.12,0.07,0.02,0.04,4.5,1.02
"338",28.99,15309,0.77,0.11,0.09,0.01,0.02,4.6,0.72,26.99,5274,0.57,0.32,0.07,0.03,0.01,4.4,0.7,14.99,8767,0.72,0.13,0.08,0.04,0.03,4.5,0.99,14.99,6028,0.66,0.2,0.11,0.02,0.01,4.5,0.69
"339",28.99,16311,0.79,0.13,0.01,0.01,0.06,4.6,1,26.99,8080,0.57,0.32,0.07,0.03,0.01,4.4,0.7,18.99,10598,0.84,0.07,0.01,0.04,0.04,4.6,1.01,16.99,15858,0.86,0.03,0.02,0.01,0.08,4.6,1.3
"340",24.99,18121,0.8,0.08,0.01,0.05,0.06,4.5,1.3,24.99,15298,0.65,0.23,0.09,0.02,0.01,4.5,0.69,18.99,14083,0.69,0.21,0.04,0.01,0.05,4.5,0.98,14.99,19899,0.66,0.26,0.04,0.02,0.02,4.5,0.71
"341",28.99,16279,0.75,0.16,0.05,0.02,0.02,4.6,0.71,26.99,12645,0.56,0.32,0.09,0.02,0.01,4.4,0.68,14.99,12333,0.62,0.29,0.02,0.02,0.05,4.4,1.02,16.99,8446,0.65,0.22,0.06,0.03,0.04,4.4,0.99
